id,title,technical_type,size_bytes,storage,web_ready,readiness_level,units,crs,calibration_status,quicklook_href
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-01-17-10_46_26.tif,SE2_SR_2022-01-17 10_46_26.tif,raster,3164804,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-18-10_18_28.tif,SE2_SR_2022-01-18 10_18_28.tif,raster,3752575,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-18-10_18_28.tif,SE2_SR_2022-01-18 10_18_28.tif,raster,3654032,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-18-11_10_17.tif,SE2_SR_2022-01-18 11_10_17.tif,raster,4174776,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-01-20-10_56_22.tif,SE2_SR_2022-01-20 10_56_22.tif,raster,3345951,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-21-10_28_24.tif,SE2_SR_2022-01-21 10_28_24.tif,raster,3803989,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-21-10_28_24.tif,SE2_SR_2022-01-21 10_28_24.tif,raster,3713669,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-21-11_20_11.tif,SE2_SR_2022-01-21 11_20_11.tif,raster,4167444,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-23-10_18_23.tif,SE2_SR_2022-01-23 10_18_23.tif,raster,3623137,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-23-10_18_23.tif,SE2_SR_2022-01-23 10_18_23.tif,raster,3470340,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-23-11_10_21.tif,SE2_SR_2022-01-23 11_10_21.tif,raster,3989097,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-26-10_28_18.tif,SE2_SR_2022-01-26 10_28_18.tif,raster,3634074,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-26-10_28_18.tif,SE2_SR_2022-01-26 10_28_18.tif,raster,3589256,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-26-11_20_17.tif,SE2_SR_2022-01-26 11_20_17.tif,raster,4033424,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-28-10_18_28.tif,SE2_SR_2022-01-28 10_18_28.tif,raster,3789420,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-28-10_18_28.tif,SE2_SR_2022-01-28 10_18_28.tif,raster,3606822,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-28-11_10_15.tif,SE2_SR_2022-01-28 11_10_15.tif,raster,4166846,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-01-30-10_56_23.tif,SE2_SR_2022-01-30 10_56_23.tif,raster,3432232,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-31-11_20_11.tif,SE2_SR_2022-01-31 11_20_11.tif,raster,4062294,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-02-10_18_22.tif,SE2_SR_2022-02-02 10_18_22.tif,raster,3858771,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-02-10_18_22.tif,SE2_SR_2022-02-02 10_18_22.tif,raster,3842444,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-02-11_10_21.tif,SE2_SR_2022-02-02 11_10_21.tif,raster,4191654,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-05-10_28_18.tif,SE2_SR_2022-02-05 10_28_18.tif,raster,3480811,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-05-10_28_18.tif,SE2_SR_2022-02-05 10_28_18.tif,raster,3773365,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-05-11_20_16.tif,SE2_SR_2022-02-05 11_20_16.tif,raster,4232830,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-07-10_18_27.tif,SE2_SR_2022-02-07 10_18_27.tif,raster,3804536,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-07-10_18_27.tif,SE2_SR_2022-02-07 10_18_27.tif,raster,3929074,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-07-11_10_15.tif,SE2_SR_2022-02-07 11_10_15.tif,raster,4180850,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-10-10_28_23.tif,SE2_SR_2022-02-10 10_28_23.tif,raster,3802033,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-10-10_28_23.tif,SE2_SR_2022-02-10 10_28_23.tif,raster,3791078,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-10-11_20_11.tif,SE2_SR_2022-02-10 11_20_11.tif,raster,4098662,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-02-11-10_46_19.tif,SE2_SR_2022-02-11 10_46_19.tif,raster,3258821,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-12-10_18_22.tif,SE2_SR_2022-02-12 10_18_22.tif,raster,3860688,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-12-10_18_22.tif,SE2_SR_2022-02-12 10_18_22.tif,raster,3788779,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-12-11_10_21.tif,SE2_SR_2022-02-12 11_10_21.tif,raster,4093373,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-15-11_20_17.tif,SE2_SR_2022-02-15 11_20_17.tif,raster,4168220,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-17-10_18_29.tif,SE2_SR_2022-02-17 10_18_29.tif,raster,3842684,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-17-10_18_29.tif,SE2_SR_2022-02-17 10_18_29.tif,raster,3857227,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-17-11_10_15.tif,SE2_SR_2022-02-17 11_10_15.tif,raster,4183714,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-02-19-10_56_24.tif,SE2_SR_2022-02-19 10_56_24.tif,raster,3292585,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
